Date,transactions/transfers_volume_to_exchanges_mean
2015-08-07,1477.3142466741238
2015-08-08,1706.0431282209684
2015-08-09,1296.2420561157182
2015-08-10,2236.627490303163
2015-08-11,992.8714400160918
2015-08-12,689.8057160468873
2015-08-13,842.5844571832688
2015-08-14,1142.510708368805
2015-08-15,768.657855850913
2015-08-16,857.8287331736293
2015-08-17,375.88888201441847
2015-08-18,662.4920625706953
2015-08-19,233.94909429248509
2015-08-20,181.17298859333889
2015-08-21,145.9717004456581
2015-08-22,75.94814412465858
2015-08-23,79.27970895082919
2015-08-24,83.11273669597892
2015-08-25,70.9370240661929
2015-08-26,106.48351588015282
2015-08-27,51.144454036260825
2015-08-28,56.968211448666935
2015-08-29,33.50126669034143
2015-08-30,88.83906514812179
2015-08-31,102.49337480820151
2015-09-01,157.84315140107816
2015-09-02,50.51900636085248
2015-09-03,95.46743498931917
2015-09-04,64.57011988172921
2015-09-05,28.656738039462653
2015-09-06,51.818379649674505
2015-09-07,50.64812217907607
2015-09-08,67.71101467188741
2015-09-09,555.5754646535453
2015-09-10,44.65581958327754
2015-09-11,93.6290503935135
2015-09-12,29.733418440423264
2015-09-13,22.133506893874927
2015-09-14,56.40403243292825
2015-09-15,79.96426011190448
2015-09-16,77.11418849294827
2015-09-17,43.714385398135164
2015-09-18,94.74725347303223
2015-09-19,22.14843865117797
2015-09-20,17.17675787257301
2015-09-21,39.21171462146075
2015-09-22,21.723913043410278
2015-09-23,22.651922839711446
2015-09-24,88.14547509422228
2015-09-25,103.57499832060421
2015-09-26,51.64679069687597
2015-09-27,56.927389098252895
2015-09-28,163.6122062617713
2015-09-29,35.532410962802956
2015-09-30,77.31722226372796
2015-10-01,52.57741861966235
2015-10-02,28.766370578129305
2015-10-03,15.888265478434878
2015-10-04,21.63288107981807
2015-10-05,26.869551402688057
2015-10-06,41.9505893305963
2015-10-07,47.81182489248797
2015-10-08,73.70999211598905
2015-10-09,46.10416000132622
2015-10-10,17.9919753193686
2015-10-11,16.762204418915125
2015-10-12,59.27474040835346
2015-10-13,67.08469678193562
2015-10-14,240.7092201631597
2015-10-15,40.27261960829538
2015-10-16,61.71499556875298
2015-10-17,51.66828677422862
2015-10-18,25.564614719830843
2015-10-19,49.51099033332784
2015-10-20,73.0438282268119
2015-10-21,208.35613738180695
2015-10-22,97.18010990878744
2015-10-23,167.6367740742111
2015-10-24,17.83505635609823
2015-10-25,46.565173875677566
2015-10-26,181.57725747663397
2015-10-27,126.3234312596912
2015-10-28,155.75890524309412
2015-10-29,116.41048937013569
2015-10-30,262.9241954852089
2015-10-31,30.39909515233251
2015-11-01,18.34076335226865
2015-11-02,61.63708537654556
2015-11-03,61.500816136011345
2015-11-04,134.26186249985406
2015-11-05,63.70088029344583
2015-11-06,61.04847649734526
2015-11-07,82.8024124961466
2015-11-08,46.285746469395015
2015-11-09,182.082989903437
2015-11-10,30.075643436311264
2015-11-11,12.484279085975388
2015-11-12,23.35661249608936
2015-11-13,16.81206856311823
2015-11-14,21.772572133244545
2015-11-15,26.036979975125217
2015-11-16,35.50985796468484
2015-11-17,69.26573587741139
2015-11-18,17.745622284447354
2015-11-19,23.584752921318316
2015-11-20,18.48225418824656
2015-11-21,16.19438011229743
2015-11-22,26.276147732223095
2015-11-23,192.85164734836908
2015-11-24,26.35792099473502
2015-11-25,24.05693768799619
2015-11-26,375.6357156078956
2015-11-27,17.822367718314126
2015-11-28,20.581589841499863
2015-11-29,19.03224650542322
2015-11-30,38.98603541988319
2015-12-01,38.12617853137622
2015-12-02,35.25946949389951
2015-12-03,12.150409132428779
2015-12-04,18.803196219526225
2015-12-05,25.832996467345918
2015-12-06,35.6888926667487
2015-12-07,49.39361018464155
2015-12-08,35.249506085087695
2015-12-09,20.129038961129233
2015-12-10,13.404102591438894
2015-12-11,35.68572913975895
2015-12-12,111.7113855517048
2015-12-13,27.3302736676747
2015-12-14,33.91418380007731
2015-12-15,86.26073271451882
2015-12-16,525.747749640605
2015-12-17,56.925658047454974
2015-12-18,42.32822659676397
2015-12-19,16.96346040621327
2015-12-20,32.603511976117545
2015-12-21,27.154935536818904
2015-12-22,24.593361553234153
2015-12-23,16.074871184758763
2015-12-24,11.023891214389188
2015-12-25,9.172330044888005
2015-12-26,15.589079710138485
2015-12-27,11.997078921035259
2015-12-28,17.848184347354525
2015-12-29,10.741052784699875
2015-12-30,22.508932369907804
2015-12-31,45.29379839222473
2016-01-01,27.37013216653221
2016-01-02,23.431274513472932
2016-01-03,19.505485161150833
2016-01-04,11.517501608886707
2016-01-05,141.77109192189434
2016-01-06,22.77885122386571
2016-01-07,26.177056715545294
2016-01-08,12.9123011476225
2016-01-09,13.05912973202848
2016-01-10,14.638541057759069
2016-01-11,52.08414982595099
2016-01-12,100.05815556633948
2016-01-13,24.037317723821932
2016-01-14,39.73033086040534
2016-01-15,77.7013526059508
2016-01-16,52.548807567756604
2016-01-17,26.256740921327918
2016-01-18,218.28406477495795
2016-01-19,152.32197067698982
2016-01-20,59.81841623232843
2016-01-21,32.67968217136445
2016-01-22,27.095240884929243
2016-01-23,95.24606003266311
2016-01-24,147.7663779358204
2016-01-25,183.03840334164053
2016-01-26,128.85839207982
2016-01-27,70.32226488312953
2016-01-28,65.01457351500491
2016-01-29,41.69078539436977
2016-01-30,135.68184266391023
2016-01-31,50.763457408700276
2016-02-01,33.33342265733172
2016-02-02,17.880729065008858
2016-02-03,23.60329563502695
2016-02-04,16.1847255639334
2016-02-05,14.236774634844997
2016-02-06,12.097498053540004
2016-02-07,115.84955580913882
