Date,indicators/nvts
2015-08-08,9.275240896216028
2015-08-09,8.155553754789727
2015-08-10,9.125844590583206
2015-08-11,12.731284999985137
2015-08-12,20.717374516335624
2015-08-13,28.1742100939277
2015-08-14,37.95117738307448
2015-08-15,29.14539495388227
2015-08-16,24.394303286107792
2015-08-17,25.085244065554637
2015-08-18,22.796673997792283
2015-08-19,24.953862533873895
2015-08-20,28.713424587613527
2015-08-21,33.4103575094088
2015-08-22,33.39429848110694
2015-08-23,33.41522377896857
2015-08-24,33.66351257310784
2015-08-25,32.31142235648266
2015-08-26,32.16991394783011
2015-08-27,34.17207751352434
2015-08-28,35.75302234506815
2015-08-29,37.265066875405104
2015-08-30,41.68525393767019
2015-08-31,44.83843123813517
2015-09-01,46.16174746649752
2015-09-02,46.37085741471792
2015-09-03,45.64107204967809
2015-09-04,47.0563611725082
2015-09-05,49.70070806124752
2015-09-06,52.32210670607263
2015-09-07,51.32069057783188
2015-09-08,51.74045282467887
2015-09-09,51.12696210375523
2015-09-10,50.84630755516469
2015-09-11,45.51796134419357
2015-09-12,45.68977950960831
2015-09-13,44.602056384609206
2015-09-14,42.216370271774444
2015-09-15,43.58198155200623
2015-09-16,44.319242859108414
2015-09-17,42.934618252006736
2015-09-18,43.18534286319694
2015-09-19,43.39519160700879
2015-09-20,46.55465941766245
2015-09-21,49.125459095048704
2015-09-22,48.3784115936577
2015-09-23,49.39679471681877
2015-09-24,48.32233304875696
2015-09-25,43.76772121697739
2015-09-26,42.530814285658145
2015-09-27,43.78399951731643
2015-09-28,38.68248438573335
2015-09-29,37.385565291225745
2015-09-30,41.11929269368949
2015-10-01,43.0614723133797
2015-10-02,42.32459866356254
2015-10-03,44.43940453898984
2015-10-04,44.103151162863995
2015-10-05,43.6519755538464
2015-10-06,41.575990608850226
2015-10-07,42.860180343393004
2015-10-08,41.3691202834234
2015-10-09,45.82413773988974
2015-10-10,45.160826999890965
2015-10-11,45.10434971764332
2015-10-12,46.30251513999428
2015-10-13,45.063173414428384
2015-10-14,41.921829717795326
2015-10-15,40.26541496823127
2015-10-16,41.19777195688328
2015-10-17,41.00535061790187
2015-10-18,41.17723367911292
2015-10-19,39.09005748134204
2015-10-20,38.47239004969508
2015-10-21,35.43054891378152
2015-10-22,36.90758505095608
2015-10-23,44.52251376846343
2015-10-24,45.052767763325626
2015-10-25,51.70632040674234
2015-10-26,53.69586996200996
2015-10-27,67.25683519859196
2015-10-28,73.1871029194155
2015-10-29,89.35015542121033
2015-10-30,93.66813629440185
2015-10-31,80.30338033220461
2015-11-01,80.78445902966459
2015-11-02,89.87435003564029
2015-11-03,85.10948284646139
2015-11-04,78.959995389558
2015-11-05,81.31761770763424
2015-11-06,100.04569989397292
2015-11-07,102.04928120163795
2015-11-08,107.793956547232
2015-11-09,116.56357298102978
2015-11-10,111.05911492391925
2015-11-11,99.1991523599996
2015-11-12,107.92192385579743
2015-11-13,130.95145188504605
2015-11-14,139.06897999800506
2015-11-15,151.07901347498802
2015-11-16,159.0106261832208
2015-11-17,166.95485179890434
2015-11-18,173.15230387274167
2015-11-19,175.59760027174178
2015-11-20,168.23751071585698
2015-11-21,175.16014593015882
2015-11-22,181.02049511145137
2015-11-23,177.9996214589713
2015-11-24,174.75902541119467
2015-11-25,164.3462083030012
2015-11-26,160.07538548765197
2015-11-27,162.72136022305833
2015-11-28,168.82508476263177
2015-11-29,167.16316117303285
2015-11-30,172.8266076514808
2015-12-01,174.25932435620527
2015-12-02,171.1354016305465
2015-12-03,164.75529474258275
2015-12-04,166.4033063647538
2015-12-05,173.79788088464795
2015-12-06,175.36746748166846
2015-12-07,166.21868404067754
2015-12-08,169.4562072316103
2015-12-09,169.00860001992896
2015-12-10,177.7732189933632
2015-12-11,186.46257908926748
2015-12-12,210.39002579483736
2015-12-13,209.3955765493839
2015-12-14,215.43056252466727
2015-12-15,219.635971107266
2015-12-16,208.6391019526146
2015-12-17,199.22054118338872
2015-12-18,193.54419556050664
2015-12-19,189.68604045264263
2015-12-20,191.1101935871671
2015-12-21,188.17044504717475
2015-12-22,186.68976878892227
2015-12-23,180.72808775521543
2015-12-24,183.71147129423798
2015-12-25,185.55563550962634
2015-12-26,187.38874144899293
2015-12-27,185.85945801074718
2015-12-28,184.72599179453331
2015-12-29,184.07229167946306
2015-12-30,195.17951416132755
2015-12-31,206.81600938620187
2016-01-01,202.49004530046554
2016-01-02,205.10355621176365
2016-01-03,205.06112898433494
2016-01-04,204.46694734764165
2016-01-05,200.02062909785346
2016-01-06,199.37693019111234
2016-01-07,198.79923388997366
2016-01-08,201.12050656562496
2016-01-09,203.77156795085227
2016-01-10,205.33208016412158
2016-01-11,213.36962389758187
2016-01-12,231.88669166212603
2016-01-13,225.2408257150859
2016-01-14,228.49041925922677
2016-01-15,241.29868383597986
2016-01-16,237.7454660979123
2016-01-17,236.62020136968079
2016-01-18,249.8891583037373
2016-01-19,233.4055319551507
2016-01-20,245.53195828961557
2016-01-21,254.6215027969797
2016-01-22,246.64793579167224
2016-01-23,272.7977743909599
2016-01-24,307.646018404192
2016-01-25,308.9134885238102
2016-01-26,327.25925408467737
2016-01-27,293.5196939595701
2016-01-28,299.64442155456544
2016-01-29,292.22295418873273
2016-01-30,282.4228923172519
2016-01-31,258.32779049473515
2016-02-01,237.09098093488095
2016-02-02,236.44637356367502
2016-02-03,252.25506708537256
2016-02-04,263.1599755299034
2016-02-05,258.00813346835673
2016-02-06,257.6129374899286
2016-02-07,271.5164653563449
2016-02-08,297.0770687845265
2016-02-09,311.5371976113715
