Date,supply/profit_sum
2016-02-20,71317855.456099
2016-02-21,72332647.777226
2016-02-22,74199483.392003
2016-02-23,74122040.178116
2016-02-24,74521851.664062
2016-02-25,74379539.70186
2016-02-26,72623463.057859
2016-02-27,74573320.7089
2016-02-28,74387587.688433
2016-02-29,74109566.963618
2016-03-01,74672007.538144
2016-03-02,74559877.711795
2016-03-03,74342104.823052
2016-03-04,74659275.064004
2016-03-05,73659407.749087
2016-03-06,73833255.809365
2016-03-07,72734433.878258
2016-03-08,71900445.543537
2016-03-09,74160398.038913
2016-03-10,74469080.769363
2016-03-11,74525844.632821
2016-03-12,74687657.951612
2016-03-13,74460314.689008
2016-03-14,73488661.271675
2016-03-15,73725358.974286
2016-03-16,72950564.65776
2016-03-17,70903265.946069
2016-03-18,71130924.546087
2016-03-19,70654874.388083
2016-03-20,70323696.5292
2016-03-21,73061947.614537
2016-03-22,71279224.032995
2016-03-23,73584761.69245
2016-03-24,70678627.530587
2016-03-25,69601371.767672
2016-03-26,70486151.095036
2016-03-27,68764376.841804
2016-03-28,72614147.641346
2016-03-29,72575846.187084
2016-03-30,72361780.275462
2016-03-31,70922203.930634
2016-04-01,71842320.110993
2016-04-02,71866246.165869
2016-04-03,71744569.239828
2016-04-04,69470633.7653
2016-04-05,68684365.320175
2016-04-06,67909109.265783
2016-04-07,66896982.113305
2016-04-08,65155352.823746
2016-04-09,63887614.234775
2016-04-10,63865134.362303
2016-04-11,63696060.432316
2016-04-12,62171815.933907
2016-04-13,62883444.451437
2016-04-14,63354790.650382
2016-04-15,62950612.56603
2016-04-16,64188610.778785
2016-04-17,65571515.305522
2016-04-18,64656484.798634
2016-04-19,63815059.987181
2016-04-20,63485582.017893
2016-04-21,62361287.803766
2016-04-22,61901453.535992
2016-04-23,63109580.48526
2016-04-24,62336011.475653
2016-04-25,61121075.305501
2016-04-26,61005489.532657
2016-04-27,61842949.602828
2016-04-28,60646621.988562
2016-04-29,60805369.502341
2016-04-30,63724369.283937
2016-05-01,63362294.507312
2016-05-02,68686510.953469
2016-05-03,64823525.83836
2016-05-04,64686737.530857
2016-05-05,66436177.807268
2016-05-06,64012596.618113
2016-05-07,63692125.887202
2016-05-08,64007315.938578
2016-05-09,62398074.15932
2016-05-10,64255591.357736
2016-05-11,66984535.071172
2016-05-12,65395801.980067
2016-05-13,64777266.565632
2016-05-14,60045941.44328
2016-05-15,58676793.858023
2016-05-16,63095112.122072
2016-05-17,64728861.408434
2016-05-18,65325057.23813
2016-05-19,65434590.383277
2016-05-20,63566261.721284
2016-05-21,64653092.589869
2016-05-22,64744551.737648
2016-05-23,63083410.360108
2016-05-24,62537667.489499
2016-05-25,62381308.249786
2016-05-26,62247193.107012
2016-05-27,58182374.766717
2016-05-28,60715991.743361
2016-05-29,62349590.130203
2016-05-30,62362406.282965
2016-05-31,64636117.967693
2016-06-01,64131581.95591
2016-06-02,64090447.069146
2016-06-03,64644401.023238
2016-06-04,64121884.483287
2016-06-05,64198642.11782
2016-06-06,64337700.672137
2016-06-07,64754842.584311
2016-06-08,64103563.821352
2016-06-09,63936760.182781
2016-06-10,62212559.889215
2016-06-11,62814816.843779
2016-06-12,64081749.659377
2016-06-13,64059752.376734
2016-06-14,64077851.733279
2016-06-15,63691265.732382
2016-06-16,63757299.963152
2016-06-17,61367183.445535
2016-06-18,52866949.020184
2016-06-19,56935315.115042
2016-06-20,53744602.891606
2016-06-21,60302931.439971
2016-06-22,58708704.593551
2016-06-23,60448588.565771
2016-06-24,61838958.755472
2016-06-25,62384423.148452
2016-06-26,59887514.631812
2016-06-27,63218214.995036
2016-06-28,54113031.617966
2016-06-29,55900425.94816
2016-06-30,54511787.652989
2016-07-01,53842958.047432
2016-07-02,53502618.109225
2016-07-03,52092639.238538
2016-07-04,50735091.93743
2016-07-05,51520550.322313
2016-07-06,49365639.122616
2016-07-07,46386784.89999
2016-07-08,52395975.437427
2016-07-09,49556618.270053
2016-07-10,50344965.422454
2016-07-11,48803236.606949
2016-07-12,48934763.356244
2016-07-13,48303621.626779
2016-07-14,52781108.189494
2016-07-15,55527568.706477
2016-07-16,52973984.673898
2016-07-17,49528806.881389
2016-07-18,48407294.769859
2016-07-19,58282461.762999
2016-07-20,61166989.202541
2016-07-21,65155329.488867
2016-07-22,69825141.768427
2016-07-23,69382024.801928
2016-07-24,49370599.614103
2016-07-25,68791071.976654
2016-07-26,47380990.131032
2016-07-27,67703059.652882
2016-07-28,67363762.319583
2016-07-29,65373421.073548
2016-07-30,57276984.439664
2016-07-31,43658003.394824
2016-08-01,41254948.046839
2016-08-02,39130560.074163
2016-08-03,40290935.336583
2016-08-04,44206589.175912
2016-08-05,40526943.82963
2016-08-06,40408817.98095
2016-08-07,40143479.894212
2016-08-08,42893214.300029
2016-08-09,51592938.466947
2016-08-10,49939080.621825
2016-08-11,43681480.194707
2016-08-12,45279883.250005
2016-08-13,42935049.95243
2016-08-14,38351107.309999
2016-08-15,39980135.917348
2016-08-16,38539121.13731
2016-08-17,36646373.329081
2016-08-18,36089437.401501
2016-08-19,35903954.065244
2016-08-20,37052837.073527
2016-08-21,40457945.140803
2016-08-22,42082988.84973
2016-08-23,36821864.634605
2016-08-24,36440748.003329
2016-08-25,40225670.913404
2016-08-26,40980986.334517
2016-08-27,40462725.550447
2016-08-28,36801116.751492
2016-08-29,36739008.397497
2016-08-30,41387064.162646
2016-08-31,46943923.867582
2016-09-01,52545583.487239
2016-09-02,64730468.955607
2016-09-03,48991830.286839
2016-09-04,46507088.799697
2016-09-05,49005113.168277
2016-09-06,49225551.026602
2016-09-07,45315076.774693
2016-09-08,41749656.097503
2016-09-09,46815239.713475
2016-09-10,49833264.284808
2016-09-11,46001004.42033
2016-09-12,48575064.439282
2016-09-13,50718142.152059
2016-09-14,49855184.670778
2016-09-15,49807192.34215
2016-09-16,66192441.812695
2016-09-17,68846597.654862
2016-09-18,57802880.626452
2016-09-19,72887840.318991
2016-09-20,75681267.749421
2016-09-21,75371447.348056
2016-09-22,72076763.183764
2016-09-23,72732488.813263
2016-09-24,68795395.034308
2016-09-25,69632567.718932
2016-09-26,69148974.819612
2016-09-27,69448609.732539
2016-09-28,71705584.51313
