Date,supply/active_3m_6m
2016-02-25,18509088.2251237
2016-02-26,18845438.9229667
2016-02-27,20229131.5789641
2016-02-28,20135712.8505823
2016-02-29,20337178.5926283
2016-03-01,20256071.9328371
2016-03-02,19868565.2756062
2016-03-03,20121677.197973
2016-03-04,20075426.1335916
2016-03-05,20158786.8647108
2016-03-06,20280782.9422403
2016-03-07,20118753.1034029
2016-03-08,20093911.3371344
2016-03-09,20141306.0615885
2016-03-10,20224819.1526105
2016-03-11,19682246.442592
2016-03-12,19780587.2782378
2016-03-13,19778852.6913365
2016-03-14,19661551.2422687
2016-03-15,19299843.0287809
2016-03-16,19123668.762423
2016-03-17,18874860.197739
2016-03-18,19223150.0408895
2016-03-19,19142047.7337474
2016-03-20,19141650.8352727
2016-03-21,18954898.2554839
2016-03-22,18915337.4117185
2016-03-23,18823374.7406592
2016-03-24,18765618.2663814
2016-03-25,18604421.8715004
2016-03-26,18626839.463221
2016-03-27,18646753.9751687
2016-03-28,18860240.334954
2016-03-29,19075566.3457953
2016-03-30,19009033.0641018
2016-03-31,18950595.5764981
2016-04-01,18918868.7460528
2016-04-02,18894228.567505
2016-04-03,18905998.4657328
2016-04-04,18996652.234137
2016-04-05,19008834.7707282
2016-04-06,19551756.8273645
2016-04-07,19571458.2747494
2016-04-08,19662825.4696681
2016-04-09,19593059.9637851
2016-04-10,19617675.4752747
2016-04-11,19647897.8905543
2016-04-12,19049598.745209
2016-04-13,19260746.2879532
2016-04-14,19284082.9659925
2016-04-15,19077704.6137465
2016-04-16,18961488.5736696
2016-04-17,19005341.5440995
2016-04-18,19198122.616861
2016-04-19,19196984.3680445
2016-04-20,19243416.8708821
2016-04-21,19707459.8410396
2016-04-22,19756944.2617088
2016-04-23,19996699.7871155
2016-04-24,20059622.8270187
2016-04-25,20315303.8488307
2016-04-26,20494513.2452619
2016-04-27,20701487.0164526
2016-04-28,20835934.0085794
2016-04-29,20786371.2182621
2016-04-30,20297200.1804318
2016-05-01,20126843.4965306
2016-05-02,20342504.8450183
2016-05-03,20338465.2133781
2016-05-04,19985792.9396989
2016-05-05,19986800.2383668
2016-05-06,19577624.0675885
2016-05-07,19520720.3433527
2016-05-08,19499972.8654067
2016-05-09,19513306.9385104
2016-05-10,19353109.4674824
2016-05-11,19207459.3018683
2016-05-12,18999438.5278028
2016-05-13,17823768.5958013
2016-05-14,16904048.7814716
2016-05-15,16873817.0869864
2016-05-16,16834770.0774597
2016-05-17,16966749.4306801
2016-05-18,17016222.0896418
2016-05-19,17158292.9878618
2016-05-20,17287214.3397526
2016-05-21,17449089.3663208
2016-05-22,17615397.1803515
2016-05-23,17659001.4912591
2016-05-24,17746338.0098568
2016-05-25,17244203.279035
2016-05-26,17235858.6529349
2016-05-27,17309359.5692077
2016-05-28,17508783.5581675
2016-05-29,17595113.0323692
2016-05-30,17781673.777498
2016-05-31,17713452.6029935
2016-06-01,17989298.0744203
2016-06-02,18126802.7402306
2016-06-03,18699989.0779411
2016-06-04,18835648.2195393
2016-06-05,19028675.2050012
2016-06-06,19356665.1114006
2016-06-07,19546093.4888382
2016-06-08,19438711.7579212
2016-06-09,19566389.9174788
2016-06-10,19625869.1444744
2016-06-11,19785147.6082897
2016-06-12,19923615.4862116
2016-06-13,20030000.1854717
2016-06-14,20198582.4436596
2016-06-15,20330145.8105018
2016-06-16,20155657.9750294
2016-06-17,20129498.6079808
2016-06-18,19913491.0123927
2016-06-19,19907491.1828023
2016-06-20,19757341.2448016
2016-06-21,19803531.7663684
2016-06-22,19767947.0532235
2016-06-23,19765280.1169158
2016-06-24,19676606.3802553
2016-06-25,19829236.4457034
2016-06-26,19875553.8218954
2016-06-27,19775060.5932847
2016-06-28,20164708.1681755
2016-06-29,20275685.0721607
2016-06-30,20246502.926131
2016-07-01,20288526.5293232
2016-07-02,20334602.5370322
2016-07-03,12821811.5456768
2016-07-04,12507352.5483018
2016-07-05,12529358.5634452
2016-07-06,12538434.4012358
2016-07-07,12565337.1135249
2016-07-08,12696645.9612742
2016-07-09,12796186.2931163
2016-07-10,12792262.0173769
2016-07-11,12789955.4029103
2016-07-12,12775031.5798615
2016-07-13,12750958.3775422
2016-07-14,12926882.8058909
2016-07-15,12588981.0957597
2016-07-16,12641759.5316474
2016-07-17,12628160.8534288
2016-07-18,12643818.7909373
2016-07-19,8935890.62115108
2016-07-20,15864654.2319016
2016-07-21,15886553.0716493
2016-07-22,15840440.5504789
2016-07-23,15824403.557783
2016-07-24,16586412.6970425
2016-07-25,16405637.3060584
2016-07-26,16988914.451681
2016-07-27,16547730.9326215
2016-07-28,16418927.7856038
2016-07-29,16302134.5142544
2016-07-30,16194309.9106704
2016-07-31,16074999.6599559
2016-08-01,15754446.0774413
2016-08-02,15726515.1067385
2016-08-03,14636606.8958885
2016-08-04,14142199.7147814
2016-08-05,13866498.6770239
2016-08-06,13663665.0103731
2016-08-07,13337163.079326
2016-08-08,13318750.1753827
2016-08-09,13078161.7446932
2016-08-10,12831474.4538169
2016-08-11,12767186.4444971
2016-08-12,12729509.3743639
2016-08-13,12229825.6494965
2016-08-14,12172610.4655847
2016-08-15,12168460.2366794
2016-08-16,12122580.1544777
2016-08-17,11977862.0096043
2016-08-18,11992216.5324164
2016-08-19,11957020.9887548
2016-08-20,11925128.4588716
2016-08-21,11858536.5607853
2016-08-22,11908471.516971
2016-08-23,11970916.7364389
2016-08-24,12238691.7117772
2016-08-25,12237562.3899273
2016-08-26,12335968.6885479
2016-08-27,12191239.0290052
2016-08-28,12192087.3600804
2016-08-29,12032638.015998
2016-08-30,11963002.7018947
2016-08-31,11950543.351078
2016-09-01,11897255.2867638
2016-09-02,11727726.4949162
2016-09-03,11717333.2918476
2016-09-04,11726853.1986241
2016-09-05,11777960.5568368
2016-09-06,11832471.2961523
2016-09-07,11863491.4239953
2016-09-08,11530171.9266253
2016-09-09,11517350.1105213
2016-09-10,11522378.011973
2016-09-11,11941518.2944336
2016-09-12,11792264.1474134
2016-09-13,11788098.6571483
2016-09-14,11992095.6541008
2016-09-15,12213967.6576582
2016-09-16,12076553.6322003
2016-09-17,12076114.4566896
2016-09-18,12981381.973481
2016-09-19,12990293.8531823
2016-09-20,13040985.6439172
2016-09-21,13003977.5818174
2016-09-22,12885325.2942545
2016-09-23,12917687.3498784
2016-09-24,12750787.816918
2016-09-25,12771660.1287095
2016-09-26,12328202.9408623
2016-09-27,12416500.9289846
2016-09-28,12391746.9190805
2016-09-29,12342399.4155409
2016-09-30,12199027.4191796
2016-10-01,12192834.2353979
2016-10-02,12272539.7656362
2016-10-03,12257642.2257045
2016-10-04,12242439.6504821
2016-10-05,12233860.7598013
2016-10-06,12186949.9843802
2016-10-07,12184741.438876
2016-10-08,12193360.2938615
2016-10-09,12242501.4094623
2016-10-10,12347398.2807192
2016-10-11,12155361.7917196
2016-10-12,11698551.0801299
2016-10-13,11713317.4001883
2016-10-14,11145180.2036931
2016-10-15,11159507.744722
2016-10-16,11234063.0390172
2016-10-17,11309248.9753706
2016-10-18,19523866.1855727
2016-10-19,20135802.0073682
2016-10-20,20480271.0592895
2016-10-21,20548060.4074732
2016-10-22,21049555.3692177
2016-10-23,21684889.621387
2016-10-24,22486520.5253269
2016-10-25,17247887.9477403
2016-10-26,18392547.3423233
2016-10-27,19250529.5124888
2016-10-28,19999191.0674702
2016-10-29,28264395.816989
2016-10-30,28826645.9727099
2016-10-31,29358438.2875691
2016-11-01,30416625.2527741
2016-11-02,23672803.9635052
2016-11-03,24702793.8060038
2016-11-04,24932133.2629342
2016-11-05,25293484.4597834
2016-11-06,25984949.2793595
2016-11-07,26418545.684446
2016-11-08,27102536.7328339
2016-11-09,27837176.0630493
2016-11-10,28034759.2173042
2016-11-11,28234610.8359622
2016-11-12,28412207.1128169
2016-11-13,28709005.8852071
2016-11-14,29566692.9741724
2016-11-15,29864769.1763064
2016-11-16,29833926.6891689
2016-11-17,29606023.1971475
2016-11-18,29777230.6934526
2016-11-19,30313205.1909976
2016-11-20,30478762.8090407
2016-11-21,30420152.6407305
2016-11-22,30105789.8609902
2016-11-23,30199981.6232881
2016-11-24,30403663.8870674
2016-11-25,30469938.0707368
2016-11-26,30340439.7658831
2016-11-27,30600520.54764
2016-11-28,30668689.4657105
2016-11-29,30641610.3957172
2016-11-30,30860660.5580781
2016-12-01,30692310.2803528
2016-12-02,30586180.9727915
2016-12-03,30674127.6411862
2016-12-04,30745061.9402131
2016-12-05,30555554.7204065
2016-12-06,30424911.0833896
2016-12-07,30428107.7859765
2016-12-08,30409198.0267402
2016-12-09,30360000.0439949
2016-12-10,30391791.4881646
2016-12-11,30471678.818772
2016-12-12,30498620.442854
2016-12-13,30260306.7467777
2016-12-14,30470909.8166382
2016-12-15,30585759.5047982
2016-12-16,30653919.7178455
2016-12-17,30639946.7786437
2016-12-18,30675953.2839545
2016-12-19,30716023.602706
2016-12-20,30742491.7069484
2016-12-21,30569853.3941956
2016-12-22,31118810.4931856
2016-12-23,30400851.8611753
2016-12-24,30480903.0476581
2016-12-25,30525626.441069
2016-12-26,30513265.0242814
2016-12-27,31323976.7586763
2016-12-28,31810433.1169395
2016-12-29,32112987.0009112
2016-12-30,32002690.7586507
2016-12-31,32869414.9038736
2017-01-01,32627526.4837397
2017-01-02,32678712.6837701
2017-01-03,32772670.5176161
2017-01-04,32449282.4385785
2017-01-05,32468502.5955905
2017-01-06,32452336.1678411
2017-01-07,32424368.2518574
2017-01-08,32670053.2003107
2017-01-09,32985767.5376737
2017-01-10,33681539.9907467
2017-01-11,33712737.4611943
2017-01-12,35547816.74205
2017-01-13,35551447.0927866
2017-01-14,35594504.4901821
2017-01-15,35572560.0800287
2017-01-16,27984636.2908887
2017-01-17,27267312.2689961
2017-01-18,27222927.8846902
2017-01-19,27237705.648114
2017-01-20,26987730.9205941
2017-01-21,26723042.9794088
2017-01-22,26048008.2932156
2017-01-23,24276843.2212045
2017-01-24,24055562.7303501
2017-01-25,23342242.6650626
2017-01-26,23120818.3195159
2017-01-27,22524500.2812379
2017-01-28,22401155.3351713
2017-01-29,22075461.7297572
2017-01-30,21605418.9889367
2017-01-31,21318149.8901897
2017-02-01,20258712.1759688
2017-02-02,20177481.7547931
2017-02-03,19919395.9590442
2017-02-04,19483375.5409524
2017-02-05,18996399.3765238
2017-02-06,18479011.5186748
2017-02-07,17981847.8857117
2017-02-08,17964236.0574268
2017-02-09,21398291.6125639
2017-02-10,21163044.5504329
2017-02-11,20888469.4438248
2017-02-12,20070368.4232823
2017-02-13,19779813.9728769
2017-02-14,19728170.7657842
2017-02-15,19288184.2595407
2017-02-16,19375504.4834423
2017-02-17,19667819.587467
2017-02-18,19582449.4374303
2017-02-19,19453738.7164609
2017-02-20,19486516.6319268
2017-02-21,19395159.7273224
2017-02-22,19313510.5996337
2017-02-23,19119858.9354997
2017-02-24,19502692.152678
2017-02-25,19231674.0986234
2017-02-26,19195942.2441257
2017-02-27,19182745.851165
2017-02-28,19273538.3542971
2017-03-01,19353321.7740813
2017-03-02,18340521.5867277
2017-03-03,18174467.1562038
2017-03-04,18238541.7371679
2017-03-05,18245744.6630981
2017-03-06,17091594.7721389
2017-03-07,17104211.3221239
2017-03-08,17186163.9021267
2017-03-09,17187181.6018109
2017-03-10,17129045.3189393
2017-03-11,17125481.656368
2017-03-12,17217169.379836
2017-03-13,16926221.6399725
2017-03-14,16705799.2323379
2017-03-15,16652142.7041635
2017-03-16,16457191.9077068
2017-03-17,15999866.2289421
2017-03-18,16010969.1377853
2017-03-19,15998283.3877372
2017-03-20,15942419.350843
2017-03-21,15987235.9435828
2017-03-22,16023713.5807356
2017-03-23,17066846.7215816
2017-03-24,17271994.3422087
2017-03-25,17240883.5979583
2017-03-26,17237287.7179949
2017-03-27,16462618.8838583
2017-03-28,15868912.1432786
2017-03-29,15918459.48656
2017-03-30,15808226.71492
2017-03-31,14695956.2513743
2017-04-01,14584771.2834624
2017-04-02,14527768.4590636
2017-04-03,13965033.3414882
2017-04-04,14057204.7594783
2017-04-05,14014818.5550476
2017-04-06,17151782.7127149
2017-04-07,18726292.6618195
2017-04-08,18656057.2645383
2017-04-09,18386587.2878656
2017-04-10,19138688.4242584
2017-04-11,19187151.6002732
2017-04-12,17271925.5720024
2017-04-13,17274341.7941371
2017-04-14,16872143.2339043
2017-04-15,16953580.6465873
2017-04-16,16991658.8029334
2017-04-17,17292149.3814642
2017-04-18,17259679.2529434
2017-04-19,17145623.073886
2017-04-20,17158660.7733729
2017-04-21,17136596.4985333
2017-04-22,17245748.3492726
2017-04-23,17082010.78367
2017-04-24,17128512.261039
2017-04-25,17098826.3111111
2017-04-26,16872971.3254017
2017-04-27,16919191.1810863
2017-04-28,16821039.7947427
2017-04-29,16915951.9340094
2017-04-30,17148249.0764919
2017-05-01,15558677.0650363
2017-05-02,15354496.8591871
2017-05-03,15369895.2238321
2017-05-04,15401747.5474057
2017-05-05,14777057.0575514
2017-05-06,14889313.0483984
