Date,fees/fee_ratio_multiple
2015-08-07,736.231047314139
2015-08-08,411.3296590367811
2015-08-09,1928.6812686139754
2015-08-10,893.5786885089482
2015-08-11,2478.8269809439366
2015-08-12,840.9344487011638
2015-08-13,1134.9377126983804
2015-08-14,2167.985595619178
2015-08-15,3227.6571697375252
2015-08-16,4058.745366379649
2015-08-17,3680.131037110948
2015-08-18,2198.4345485160893
2015-08-19,1769.0071587526506
2015-08-20,3072.522957324741
2015-08-21,3398.937074739257
2015-08-22,648.5276161797553
2015-08-23,3262.6624562203433
2015-08-24,3080.3603356909803
2015-08-25,3237.910910697798
2015-08-26,3510.5218653093025
2015-08-27,2830.3065463036655
2015-08-28,2441.7853007004355
2015-08-29,4090.913436988145
2015-08-30,3808.7621902971637
2015-08-31,2868.983099324202
2015-09-01,2594.041244665737
2015-09-02,2256.542153786022
2015-09-03,2494.66907852102
2015-09-04,2372.2980901760347
2015-09-05,2804.6781921116385
2015-09-06,3249.5036427868486
2015-09-07,2751.5733490910497
2015-09-08,2495.1169375066784
2015-09-09,2686.9544517891914
2015-09-10,3337.4701134081297
2015-09-11,3069.5398134870716
2015-09-12,2326.2075393852333
2015-09-13,2733.2430081967304
2015-09-14,2585.254897938787
2015-09-15,3040.672621028143
2015-09-16,1738.557955333534
2015-09-17,2973.6587128057604
2015-09-18,2188.9687580538603
2015-09-19,3406.9748698260805
2015-09-20,2551.9171032054223
2015-09-21,2618.8715809323035
2015-09-22,2313.344510984402
2015-09-23,2531.80715040021
2015-09-24,2557.8840764845786
2015-09-25,2746.201742091588
2015-09-26,2790.3103590983933
2015-09-27,2970.073883214717
2015-09-28,2666.3683033368407
2015-09-29,2745.596836481932
2015-09-30,2994.0257524416243
2015-10-01,3128.530714487354
2015-10-02,2756.996661359345
2015-10-03,2702.664624316051
2015-10-04,2702.4797219987036
2015-10-05,2276.3887315309835
2015-10-06,2505.833533394931
2015-10-07,2146.088678565965
2015-10-08,2237.5811849253914
2015-10-09,2251.5009086474606
2015-10-10,2241.192349471567
2015-10-11,2946.6202114560606
2015-10-12,2505.1323331625167
2015-10-13,2165.0625523014746
2015-10-14,2187.9192219642296
2015-10-15,1358.1808196893087
2015-10-16,1202.2309290125258
2015-10-17,2152.9510079976285
2015-10-18,1972.193198267805
2015-10-19,2220.525802546894
2015-10-20,2273.2698891170094
2015-10-21,2565.6682860741207
2015-10-22,1919.9251896828755
2015-10-23,2005.2887123696762
2015-10-24,2536.2591580142184
2015-10-25,2954.266472627952
2015-10-26,2406.230206165815
2015-10-27,1457.3574121828285
2015-10-28,2418.2328484879677
2015-10-29,2192.962825813512
2015-10-30,2059.480181078866
2015-10-31,1793.4557311629057
2015-11-01,1743.7149834358147
2015-11-02,2611.059857677528
2015-11-03,2256.3096126630066
2015-11-04,2951.796163063734
2015-11-05,2577.145768838847
2015-11-06,1721.7406269225078
2015-11-07,833.7736687651709
2015-11-08,925.2108726983118
2015-11-09,2403.4934730275645
2015-11-10,1788.747907573524
2015-11-11,1206.4995906670176
2015-11-12,1083.7734432156956
2015-11-13,1933.7005195087934
2015-11-14,1531.0315623197832
2015-11-15,2449.643302672876
2015-11-16,2668.5878601613813
2015-11-17,2897.1224448046855
2015-11-18,2641.323229063129
2015-11-19,1675.4540331466692
2015-11-20,2097.4945348067768
2015-11-21,2382.716470020512
2015-11-22,2401.7540634739557
2015-11-23,2049.075265955432
2015-11-24,2071.5775327932442
2015-11-25,2125.6114766715905
2015-11-26,2852.4459672147623
2015-11-27,2967.9436651805995
2015-11-28,1868.2925059980055
2015-11-29,3009.641837548015
2015-11-30,1315.3892475079926
2015-12-01,2107.6233088795134
2015-12-02,2274.7150416814507
2015-12-03,2632.077917230533
2015-12-04,2157.3721982000297
2015-12-05,2032.5041267732943
2015-12-06,1532.1810993814745
2015-12-07,2771.873930342095
2015-12-08,2877.8775477507365
2015-12-09,2795.129626766584
2015-12-10,2423.846409469266
2015-12-11,1604.4951868304197
2015-12-12,1177.5944747650476
2015-12-13,1490.8131699031783
2015-12-14,358.77255113026933
2015-12-15,237.12478760391753
2015-12-16,599.3552540058043
2015-12-17,830.6985462087694
2015-12-18,829.7875828464304
2015-12-19,937.1170948415551
2015-12-20,768.8846019983206
2015-12-21,677.3383852210363
2015-12-22,463.69787620231943
2015-12-23,337.49421700461994
2015-12-24,584.2537147351874
2015-12-25,1008.8789947458729
2015-12-26,849.6707274421548
2015-12-27,310.9665610787376
2015-12-28,744.3407692648904
2015-12-29,804.3060415304541
2015-12-30,352.1815040176527
2015-12-31,1074.440489904725
2016-01-01,1666.7394101366083
2016-01-02,1415.4732510863496
2016-01-03,1424.042502950958
2016-01-04,1287.7231003771092
2016-01-05,462.24683086703385
2016-01-06,416.2088046744686
2016-01-07,413.511244891093
2016-01-08,1075.7504037136491
2016-01-09,703.1734824573916
2016-01-10,1037.53855687974
2016-01-11,1059.462669977975
2016-01-12,1011.5365342311306
2016-01-13,440.96293220898775
2016-01-14,1006.3421497826963
2016-01-15,1158.046633171121
2016-01-16,1171.9856066057348
2016-01-17,1562.0509762504214
2016-01-18,861.9696255230746
2016-01-19,734.418869955245
2016-01-20,1396.9823993415248
2016-01-21,1278.0619634825155
2016-01-22,843.0104000456698
2016-01-23,1479.2296853283783
2016-01-24,1148.838419490355
2016-01-25,640.4622166577146
2016-01-26,713.0541393479928
2016-01-27,460.1006663890292
2016-01-28,643.2509529164885
2016-01-29,700.3846180731357
2016-01-30,740.3072452254852
2016-01-31,758.9403200983837
2016-02-01,813.2888002813318
2016-02-02,878.8722753496883
2016-02-03,985.5845857321574
2016-02-04,812.8695573515311
2016-02-05,682.4373839137802
2016-02-06,110.41718966519906
2016-02-07,503.3403393955369
2016-02-08,705.8443292744379
2016-02-09,528.7225681010724
2016-02-10,445.2826817139128
2016-02-11,570.1271206894415
2016-02-12,802.4053878199609
2016-02-13,745.3449673295569
2016-02-14,949.0077954680014
2016-02-15,854.5401064593975
2016-02-16,795.2982991238299
2016-02-17,626.8510657677608
2016-02-18,896.6239287731149
2016-02-19,720.7177443302223
2016-02-20,992.382998418409
2016-02-21,943.996480880623
2016-02-22,823.0750622358194
2016-02-23,278.9182937542909
2016-02-24,508.8958864963529
2016-02-25,849.5079916227089
2016-02-26,525.0503899784289
2016-02-27,924.2186591254252
2016-02-28,901.0998861545286
