Date,indicators/average_dormancy
2015-08-07,6.760051165411314
2015-08-08,8.533315368755254
2015-08-09,4.632699795804515
2015-08-10,5.6341299775206
2015-08-11,3.589258795746861
2015-08-12,5.456443680668437
2015-08-13,5.457810907595309
2015-08-14,7.429409322249572
2015-08-15,5.831826811119865
2015-08-16,5.527421033390648
2015-08-17,7.858067394016756
2015-08-18,9.190778114105546
2015-08-19,4.496210696773159
2015-08-20,7.7884671501347515
2015-08-21,7.066885291310805
2015-08-22,11.398473386855803
2015-08-23,12.782388144580327
2015-08-24,8.86879270179688
2015-08-25,14.31132616442461
2015-08-26,8.89764239700201
2015-08-27,7.7395372224741985
2015-08-28,11.041621479497797
2015-08-29,14.563239101858862
2015-08-30,9.15583951249257
2015-08-31,8.490027156673246
2015-09-01,17.729555309039974
2015-09-02,6.931773267796955
2015-09-03,5.1625097649413245
2015-09-04,17.04443289570072
2015-09-05,9.015507784315425
2015-09-06,13.029392220270147
2015-09-07,13.405097173929416
2015-09-08,18.332305801543843
2015-09-09,35.388102274881945
2015-09-10,9.621009263957736
2015-09-11,9.564857270820456
2015-09-12,19.16043662632337
2015-09-13,16.178226503776717
2015-09-14,12.353649789934476
2015-09-15,46.18469255849029
2015-09-16,9.514643262218824
2015-09-17,10.957711474984034
2015-09-18,19.791466747346462
2015-09-19,5.030142947075711
2015-09-20,5.284575684729419
2015-09-21,14.882476719226082
2015-09-22,16.47181190227031
2015-09-23,10.259236176662506
2015-09-24,21.85091871403348
2015-09-25,13.475564673377116
2015-09-26,17.778499528690425
2015-09-27,14.400795696720067
2015-09-28,21.102594869606076
2015-09-29,11.584627254301488
2015-09-30,16.68180393242208
2015-10-01,35.415650171941316
2015-10-02,18.59019697384747
2015-10-03,4.952118425263584
2015-10-04,33.8580665626723
2015-10-05,13.148116647655991
2015-10-06,15.726172451145777
2015-10-07,14.114712189936135
2015-10-08,19.139160627430538
2015-10-09,19.094433335176916
2015-10-10,8.963230045959397
2015-10-11,8.924793517681438
2015-10-12,33.468022525054785
2015-10-13,29.197622394828898
2015-10-14,23.847152403143298
2015-10-15,46.45448072616689
2015-10-16,15.169058283573703
2015-10-17,20.030759240653886
2015-10-18,15.770354967376505
2015-10-19,30.490308500825417
2015-10-20,24.467049529262823
2015-10-21,22.951411017108068
2015-10-22,21.326482015437914
2015-10-23,28.453218345534566
2015-10-24,7.562003169208252
2015-10-25,14.128108545109182
2015-10-26,24.662792900127634
2015-10-27,46.305688230723504
2015-10-28,19.882342138873387
2015-10-29,78.9353177797206
2015-10-30,41.02266854083804
2015-10-31,23.347388996155363
2015-11-01,16.509304676996837
2015-11-02,20.496213873814618
2015-11-03,11.664904716372563
2015-11-04,19.13299524436043
2015-11-05,24.058112653876332
2015-11-06,45.06914554093624
2015-11-07,182.05021978672463
2015-11-08,7.112350397252822
2015-11-09,102.43245037510346
2015-11-10,3.747511801563904
2015-11-11,5.289469880482882
2015-11-12,24.97876178399563
2015-11-13,12.377624210386802
2015-11-14,23.775623364876033
2015-11-15,19.546369560532465
2015-11-16,13.429980923542963
2015-11-17,74.86637002090693
2015-11-18,218.53063462530278
2015-11-19,8.55881682198472
2015-11-20,15.848173123340885
2015-11-21,15.734273327560734
2015-11-22,17.64332985242128
2015-11-23,70.24184789576708
2015-11-24,22.30635662026787
2015-11-25,17.170251990641262
2015-11-26,86.68956144212605
2015-11-27,100.40082341732487
2015-11-28,7.9228486444601165
2015-11-29,31.227443585932857
2015-11-30,23.539762560253454
