Date,distribution/balance_1pct_holders
2016-03-18,0.703877
2016-03-19,0.703658
2016-03-20,0.705543
2016-03-21,0.705231
2016-03-22,0.70595
2016-03-23,0.705939
2016-03-24,0.706357
2016-03-25,0.707409
2016-03-26,0.708281
2016-03-27,0.708845
2016-03-28,0.709599
2016-03-29,0.708732
2016-03-30,0.710273
2016-03-31,0.710549
2016-04-01,0.710936
2016-04-02,0.711367
2016-04-03,0.712335
2016-04-04,0.712668
2016-04-05,0.714058
2016-04-06,0.714994
2016-04-07,0.715865
2016-04-08,0.717181
2016-04-09,0.717512
2016-04-10,0.718781
2016-04-11,0.719502
2016-04-12,0.721107
2016-04-13,0.721209
2016-04-14,0.722152
2016-04-15,0.722037
2016-04-16,0.72315
2016-04-17,0.723501
2016-04-18,0.72438
2016-04-19,0.724512
2016-04-20,0.725672
2016-04-21,0.726494
2016-04-22,0.727386
2016-04-23,0.728537
2016-04-24,0.729118
2016-04-25,0.729151
2016-04-26,0.7297
2016-04-27,0.730294
2016-04-28,0.73096
2016-04-29,0.731689
2016-04-30,0.73221
2016-05-01,0.73296
2016-05-02,0.73632
2016-05-03,0.73739
2016-05-04,0.7388
2016-05-05,0.739327
2016-05-06,0.739074
2016-05-07,0.739923
2016-05-08,0.741353
2016-05-09,0.743857
2016-05-10,0.745303
2016-05-11,0.749398
2016-05-12,0.753084
2016-05-13,0.754407
2016-05-14,0.761435
2016-05-15,0.763399
2016-05-16,0.765137
2016-05-17,0.766257
2016-05-18,0.770149
2016-05-19,0.771521
2016-05-20,0.773853
2016-05-21,0.775012
2016-05-22,0.775245
2016-05-23,0.776574
2016-05-24,0.776629
2016-05-25,0.778364
2016-05-26,0.779121
2016-05-27,0.782105
2016-05-28,0.787202
2016-05-29,0.787966
2016-05-30,0.788357
2016-05-31,0.789647
2016-06-01,0.790627
2016-06-02,0.791308
2016-06-03,0.79176
2016-06-04,0.792435
2016-06-05,0.792638
2016-06-06,0.793083
2016-06-07,0.796235
2016-06-08,0.797766
2016-06-09,0.797903
2016-06-10,0.798698
2016-06-11,0.799532
2016-06-12,0.799646
2016-06-13,0.800892
2016-06-14,0.801203
2016-06-15,0.801339
2016-06-16,0.803496
2016-06-17,0.808556
2016-06-18,0.814718
2016-06-19,0.815662
2016-06-20,0.817678
2016-06-21,0.818212
2016-06-22,0.818754
2016-06-23,0.820144
2016-06-24,0.819916
2016-06-25,0.820606
2016-06-26,0.822082
2016-06-27,0.822243
2016-06-28,0.822714
2016-06-29,0.823141
2016-06-30,0.823586
2016-07-01,0.823934
2016-07-02,0.824577
2016-07-03,0.825095
2016-07-04,0.825991
2016-07-05,0.827921
2016-07-06,0.829662
2016-07-07,0.830157
2016-07-08,0.830204
2016-07-09,0.830323
2016-07-10,0.830586
2016-07-11,0.830827
2016-07-12,0.831145
2016-07-13,0.832288
2016-07-14,0.833211
2016-07-15,0.836134
2016-07-16,0.835829
2016-07-17,0.835502
