Date,indicators/asol
2015-08-07,5.6517746143373
2015-08-08,4.64652040362252
2015-08-09,4.36991685743035
2015-08-10,3.08385531781251
2015-08-11,2.60837451824808
2015-08-12,3.50771421421815
2015-08-13,3.75517884316278
2015-08-14,4.81750394114957
2015-08-15,4.07896447819781
2015-08-16,3.64424889003684
2015-08-17,3.01596174333715
2015-08-18,3.85304677696307
2015-08-19,3.57763449098874
2015-08-20,4.37235513837496
2015-08-21,3.4416341873778
2015-08-22,4.700705345095
2015-08-23,4.30160924977416
2015-08-24,4.42264342101398
2015-08-25,4.06216422856961
2015-08-26,3.40649918968168
2015-08-27,3.67793825086822
2015-08-28,3.33293660167384
2015-08-29,2.91200676076056
2015-08-30,3.6947039541061
2015-08-31,3.27179176975251
2015-09-01,3.41469502183115
2015-09-02,2.09154679631438
2015-09-03,2.8320858899593
2015-09-04,2.51674320282708
2015-09-05,3.46142776471493
2015-09-06,2.8947723056425
2015-09-07,3.94725408248039
2015-09-08,5.25431936996233
2015-09-09,3.92205907288265
2015-09-10,3.2416644109437
2015-09-11,3.33598298849132
2015-09-12,5.51053173921541
2015-09-13,4.2819668972053
2015-09-14,4.99400851482387
2015-09-15,5.40857511178599
2015-09-16,10.2283703691957
2015-09-17,10.1040667167264
2015-09-18,2.1807121268005
2015-09-19,2.15059994023613
2015-09-20,1.94473193183856
2015-09-21,3.05973951996803
2015-09-22,3.10048281289286
2015-09-23,3.25534033836787
2015-09-24,3.37256052554836
2015-09-25,4.66835196342195
2015-09-26,3.01460897392144
2015-09-27,3.7313101031827
2015-09-28,4.75119734765929
2015-09-29,5.74061572557245
2015-09-30,4.18758860997165
2015-10-01,4.79374228290576
2015-10-02,3.90416616554896
2015-10-03,3.62074587339147
2015-10-04,3.16879323452039
2015-10-05,3.92725762625556
2015-10-06,5.37212500178553
2015-10-07,3.37364056373849
2015-10-08,3.378722811684
2015-10-09,3.07331603650529
2015-10-10,3.39438543468224
2015-10-11,2.78742321352311
2015-10-12,2.91828652325048
2015-10-13,3.39413299441037
2015-10-14,4.69486356697795
2015-10-15,4.91098040804344
2015-10-16,4.10656845503539
2015-10-17,3.92204209669304
2015-10-18,4.15554078465803
2015-10-19,3.69720188779014
2015-10-20,4.70532222213899
2015-10-21,5.13434967768701
2015-10-22,7.62779414932464
2015-10-23,7.33843386508314
2015-10-24,2.10721575519134
2015-10-25,5.04150681370615
2015-10-26,3.70849826195328
2015-10-27,7.89215312235434
2015-10-28,4.98220242039864
2015-10-29,5.66285986324202
2015-10-30,4.99063567296205
2015-10-31,3.08767003101544
2015-11-01,2.97103613223179
2015-11-02,5.5632252804428
2015-11-03,5.08214747262714
2015-11-04,5.02035309817892
2015-11-05,4.18211664093772
2015-11-06,3.98565826248776
2015-11-07,2.7520758196648
2015-11-08,4.9581067176606
2015-11-09,4.96264001109855
2015-11-10,2.46399313574553
2015-11-11,3.56432223873131
2015-11-12,3.71830155965864
2015-11-13,4.11306961889374
2015-11-14,3.02558535740859
2015-11-15,3.66482797557501
2015-11-16,4.51100330374087
2015-11-17,4.62966633369674
2015-11-18,4.26111956435324
2015-11-19,8.68580749193159
2015-11-20,6.37541447727184
2015-11-21,7.37304153439487
2015-11-22,7.39659682610067
2015-11-23,10.2757733276596
2015-11-24,7.55773070452221
2015-11-25,4.92276496783475
2015-11-26,5.08997586776279
2015-11-27,4.4317519441488
2015-11-28,3.3182278373955
2015-11-29,3.95032459915755
2015-11-30,5.00217421249527
2015-12-01,9.59176746366271
2015-12-02,8.42321917999373
2015-12-03,6.56097339826365
2015-12-04,9.65381815013661
2015-12-05,9.01895470804221
2015-12-06,6.66641966925443
2015-12-07,7.62779116528399
2015-12-08,5.46684647389947
2015-12-09,6.38375620176313
2015-12-10,6.46487995209843
2015-12-11,6.50134392519355
2015-12-12,6.71516235721666
2015-12-13,5.88992173728974
2015-12-14,3.40424512046401
2015-12-15,4.49170476898187
2015-12-16,5.59630220316693
2015-12-17,6.82109339425025
2015-12-18,7.185150823435
2015-12-19,5.28650087021298
2015-12-20,10.8175829999305
2015-12-21,7.01358753173242
2015-12-22,6.5889410716994
2015-12-23,7.23044263164236
2015-12-24,7.20947944621413
2015-12-25,7.62024873041467
2015-12-26,9.39464904297914
2015-12-27,8.09736964091895
2015-12-28,10.0004259825279
2015-12-29,10.5377786696126
2015-12-30,10.0604079374008
2015-12-31,10.4924839202134
2016-01-01,8.923818269698
2016-01-02,10.3676636047536
2016-01-03,9.73013088896233
2016-01-04,10.1275630590675
2016-01-05,12.027515585661
2016-01-06,13.3099977268931
2016-01-07,14.3299628393204
2016-01-08,10.1294810812672
2016-01-09,14.8821115984726
2016-01-10,8.52804509423096
2016-01-11,10.4250366769501
2016-01-12,12.8316807342825
2016-01-13,15.1229314989798
2016-01-14,13.4231878415655
2016-01-15,17.6707249017269
2016-01-16,13.1445401429049
2016-01-17,10.439232839059
2016-01-18,12.0996352491655
2016-01-19,13.7236397693036
2016-01-20,16.9226414668101
2016-01-21,10.5332347818109
2016-01-22,11.1576886836447
2016-01-23,12.5734590275796
2016-01-24,18.8461262612796
2016-01-25,16.5199644278077
2016-01-26,16.8818572072423
2016-01-27,16.0658422300961
2016-01-28,8.39090825178896
2016-01-29,10.9858068897603
2016-01-30,9.51649311824712
2016-01-31,10.7043964521025
2016-02-01,10.4682958323525
2016-02-02,9.25841051166403
2016-02-03,10.5460645610568
2016-02-04,13.6615702232428
2016-02-05,13.6068740470947
2016-02-06,11.8364369948512
2016-02-07,15.7183626578268
2016-02-08,14.8230585623805
