Date,transactions/transfers_volume_from_exchanges_mean
2015-08-07,0.0
2015-08-08,182.8262108959155
2015-08-09,663.9825082492907
2015-08-10,1006.8966677994797
2015-08-11,1160.0364836264102
2015-08-12,1066.049723690145
2015-08-13,613.3581128410392
2015-08-14,601.0764986559844
2015-08-15,1069.7193565687562
2015-08-16,790.0796723434402
2015-08-17,1080.0196506038435
2015-08-18,993.3807671942858
2015-08-19,1691.7724457899506
2015-08-20,695.6298020127012
2015-08-21,836.0025797658918
2015-08-22,656.762443995189
2015-08-23,1081.087358466294
2015-08-24,951.1539702061284
2015-08-25,454.8800349085512
2015-08-26,736.5791888932067
2015-08-27,679.0303660719661
2015-08-28,715.1720787241978
2015-08-29,383.49492088834023
2015-08-30,800.0944625467577
2015-08-31,1066.596231833126
2015-09-01,826.8998254939055
2015-09-02,1233.1487399801608
2015-09-03,932.2279747782716
2015-09-04,612.4959452614623
2015-09-05,759.7557406506166
2015-09-06,808.97567486115
2015-09-07,426.76358088708275
2015-09-08,517.9620539281547
2015-09-09,797.975719019336
2015-09-10,673.4368828800904
2015-09-11,1004.96684255306
2015-09-12,780.94303515866
2015-09-13,604.4492592388596
2015-09-14,532.9139108107705
2015-09-15,1296.6539435188333
2015-09-16,899.9467152519999
2015-09-17,500.0238673695957
2015-09-18,886.993972389943
2015-09-19,281.555704147985
2015-09-20,608.9120849661796
2015-09-21,514.4990066990041
2015-09-22,621.3311031554098
2015-09-23,866.1056205236112
2015-09-24,1340.1398238393506
2015-09-25,1332.4892166641134
2015-09-26,745.614458011577
2015-09-27,1532.0593068990127
2015-09-28,722.9925913729423
2015-09-29,1011.7889138084857
2015-09-30,918.6554250246576
2015-10-01,1040.491408375624
2015-10-02,531.9373140512765
2015-10-03,482.3274881081632
2015-10-04,576.5310283611836
2015-10-05,1128.9361740498362
2015-10-06,3919.8501361341937
2015-10-07,845.2196515648039
2015-10-08,1149.150196290339
2015-10-09,924.912185521278
2015-10-10,980.3827474537144
2015-10-11,1923.0516802775678
2015-10-12,2144.8107578930612
2015-10-13,2280.3781422837
2015-10-14,3311.584591057901
2015-10-15,1032.1552030380883
2015-10-16,1480.8685493749383
2015-10-17,636.6651377075862
2015-10-18,536.7361949607142
2015-10-19,2554.753578892449
2015-10-20,2116.34072450806
2015-10-21,1425.9904062974545
2015-10-22,1740.8942051211138
2015-10-23,2318.8657698630595
2015-10-24,501.1279226513208
2015-10-25,891.764419442152
2015-10-26,5484.505330028662
2015-10-27,1877.4733693849719
2015-10-28,2119.834494426579
2015-10-29,959.3047673843206
2015-10-30,1323.987079561886
2015-10-31,1025.6304614363635
2015-11-01,891.4075620225926
2015-11-02,1161.4374549381444
2015-11-03,1223.2707570063358
2015-11-04,1587.4592522915295
2015-11-05,785.6360583564567
2015-11-06,769.2010025869513
2015-11-07,844.9860222072674
2015-11-08,674.6553772898701
2015-11-09,908.6664096072749
2015-11-10,471.04196853686864
2015-11-11,909.5212532494656
2015-11-12,807.323901582367
2015-11-13,424.9720748320833
2015-11-14,1141.0356088811495
2015-11-15,828.8837581055682
2015-11-16,1058.4776849253847
2015-11-17,720.5967102019686
2015-11-18,713.976318817738
2015-11-19,461.08151888857145
2015-11-20,300.23001146715444
2015-11-21,420.2063214523958
2015-11-22,1232.1534794192064
2015-11-23,907.3554141085484
2015-11-24,425.62152501034484
2015-11-25,527.3834725705833
2015-11-26,571.2107280545181
2015-11-27,633.7273585714737
2015-11-28,304.60440476545455
2015-11-29,1086.530291358913
2015-11-30,744.5537570753062
2015-12-01,759.4510723070833
2015-12-02,689.1628579625532
2015-12-03,704.0897101607827
2015-12-04,760.0894044359375
2015-12-05,297.3162652144444
2015-12-06,478.61230940169645
2015-12-07,1418.1768639420354
2015-12-08,271.3556485062963
2015-12-09,351.3719975373563
2015-12-10,1482.2707934895454
2015-12-11,666.3630987430023
2015-12-12,1192.1403874889286
2015-12-13,515.0457511101021
2015-12-14,1933.5721616345236
2015-12-15,877.9915843342857
2015-12-16,1703.5426169528432
2015-12-17,487.2090555203077
2015-12-18,253.5007666467059
2015-12-19,387.6432458918
2015-12-20,845.0100890397999
2015-12-21,588.9894292793846
2015-12-22,459.4612828912048
2015-12-23,520.7105189231429
2015-12-24,484.2550949162162
2015-12-25,219.76209602042255
2015-12-26,777.9650273213846
2015-12-27,245.4759384169697
2015-12-28,730.2586652440001
2015-12-29,290.1678759252809
2015-12-30,1550.9135366791177
2015-12-31,831.7689149623932
2016-01-01,1016.6321023369387
2016-01-02,786.6945515346154
2016-01-03,823.5628131018422
2016-01-04,409.9816550519014
2016-01-05,490.994685927324
2016-01-06,609.6585066886813
2016-01-07,935.3719903033112
2016-01-08,578.4517491886667
2016-01-09,216.30184302201343
2016-01-10,237.3854361434177
2016-01-11,733.5965126828319
2016-01-12,669.2251108743071
2016-01-13,679.5771266444262
2016-01-14,877.3395111491359
2016-01-15,717.017579302683
2016-01-16,774.5857297283587
2016-01-17,859.033825386024
2016-01-18,905.5882292341261
2016-01-19,1038.5333340029924
2016-01-20,914.9516732851415
2016-01-21,893.8359169003319
2016-01-22,666.3044622016748
2016-01-23,1417.269620041156
2016-01-24,751.6430069313889
2016-01-25,1035.3939442181877
2016-01-26,787.1050801257143
2016-01-27,785.5962071514177
2016-01-28,600.5904916604587
2016-01-29,724.4670819049275
2016-01-30,475.2385256757584
2016-01-31,460.23167429378015
2016-02-01,548.3308008857639
2016-02-02,603.266426012562
2016-02-03,434.19643398803856
2016-02-04,502.92255982959114
2016-02-05,678.9974472926756
