Date,mining/revenue_from_fees
2016-03-01,0.001280437
2016-03-02,0.00146454
2016-03-03,0.001351333
2016-03-04,0.001310534
2016-03-05,0.001273417
2016-03-06,0.001481761
2016-03-07,0.001167644
2016-03-08,0.001289731
2016-03-09,0.001011539
2016-03-10,0.000763467
2016-03-11,0.000731255
2016-03-12,0.000920418
2016-03-13,0.00094008
2016-03-14,0.001051179
2016-03-15,0.000768474
2016-03-16,0.000757529
2016-03-17,0.000987893
2016-03-18,0.000876157
2016-03-19,0.001378604
2016-03-20,0.001129824
2016-03-21,0.001032956
2016-03-22,0.000823602
2016-03-23,0.001042506
2016-03-24,0.001289522
2016-03-25,0.001263847
2016-03-26,0.001096764
2016-03-27,0.000606948
2016-03-28,0.000841808
2016-03-29,0.00076006
2016-03-30,0.001177694
2016-03-31,0.000796515
2016-04-01,0.000759581
2016-04-02,0.000580902
2016-04-03,0.000564983
2016-04-04,0.000777704
2016-04-05,0.000905184
2016-04-06,0.000692971
2016-04-07,0.000686553
2016-04-08,0.000787974
2016-04-09,0.000646484
2016-04-10,0.000611663
2016-04-11,0.000602025
2016-04-12,0.000729285
2016-04-13,0.001045942
2016-04-14,0.001009409
2016-04-15,0.000736184
2016-04-16,0.000545969
2016-04-17,0.00095809
2016-04-18,0.000630397
2016-04-19,0.000609492
2016-04-20,0.000748649
2016-04-21,0.00096741
2016-04-22,0.000651198
2016-04-23,0.000615327
2016-04-24,0.000713474
2016-04-25,0.000741933
2016-04-26,0.000691784
2016-04-27,0.000641162
2016-04-28,0.000714036
2016-04-29,0.000739119
2016-04-30,0.00100716
2016-05-01,0.001182147
2016-05-02,0.000858741
2016-05-03,0.000843494
2016-05-04,0.000867772
2016-05-05,0.000978855
2016-05-06,0.001106944
2016-05-07,0.000766768
2016-05-08,0.000906606
2016-05-09,0.000827641
2016-05-10,0.000873074
2016-05-11,0.001010934
2016-05-12,0.001215698
2016-05-13,0.001339671
2016-05-14,0.001118224
2016-05-15,0.000983303
2016-05-16,0.000874966
2016-05-17,0.000883493
2016-05-18,0.001081093
2016-05-19,0.001037823
2016-05-20,0.00118365
2016-05-21,0.001123256
2016-05-22,0.000894305
2016-05-23,0.000922895
2016-05-24,0.00089273
2016-05-25,0.00101061
2016-05-26,0.001108431
2016-05-27,0.001174166
2016-05-28,0.002499194
2016-05-29,0.001211844
2016-05-30,0.000994279
2016-05-31,0.000987131
2016-06-01,0.000969595
2016-06-02,0.000802908
2016-06-03,0.000781489
2016-06-04,0.000758054
2016-06-05,0.000754226
2016-06-06,0.000798395
2016-06-07,0.002107932
2016-06-08,0.000879356
2016-06-09,0.000895828
2016-06-10,0.000926375
2016-06-11,0.000840294
2016-06-12,0.000904319
2016-06-13,0.001143991
2016-06-14,0.001195292
