Date,transactions/transfers_volume_exchanges_net
2015-08-07,1432994.8192739
2015-08-08,848571.118777979
2015-08-09,440430.193456526
2015-08-10,702564.85266953
2015-08-11,273769.42808165005
2015-08-12,219861.779067704
2015-08-13,417751.931915461
2015-08-14,934487.9047633399
2015-08-15,263046.59983313095
2015-08-16,491970.158091221
2015-08-17,83484.214853844
2015-08-18,201502.64106004802
2015-08-19,-80738.014575768
2015-08-20,-32555.44266308051
2015-08-21,-19980.254154229013
2015-08-22,-4727.137435836106
2015-08-23,-38890.357742484994
2015-08-24,-14522.540549315017
2015-08-25,42251.439499946
2015-08-26,25386.087929094007
2015-08-27,16110.905173281804
2015-08-28,17713.427869887804
2015-08-29,2007.2687589440975
2015-08-30,51121.35691366129
2015-08-31,23125.349131065013
2015-09-01,128007.1542574543
2015-09-02,-37971.863651184394
2015-09-03,52511.36436363701
2015-09-04,53430.6974416818
2015-09-05,-16249.297069143795
2015-09-06,32988.844335171496
2015-09-07,51100.59729877431
2015-09-08,60872.00001177191
2015-09-09,944632.2611671598
2015-09-10,8280.211801265403
2015-09-11,-81304.98417403802
2015-09-12,-14614.276483709196
2015-09-13,-19301.9361833348
2015-09-14,30025.297530570104
2015-09-15,14146.065056638996
2015-09-16,39819.836094615006
2015-09-17,-7958.846053217407
2015-09-18,38028.066985432306
2015-09-19,12962.7530529088
2015-09-20,-7223.450607935098
2015-09-21,42434.50311038861
2015-09-22,8479.6289563397
2015-09-23,12561.060664632801
2015-09-24,51063.814979259
2015-09-25,-5485.407507055992
2015-09-26,4539.455480994089
2015-09-27,-17709.474031692997
2015-09-28,142339.736580444
2015-09-29,-46081.4641898656
2015-09-30,76748.187383734
2015-10-01,-28534.430692384994
2015-10-02,27123.609727160303
2015-10-03,4472.294714051302
2015-10-04,10061.8120026598
2015-10-05,-22971.9128212488
2015-10-06,-169239.62180780113
2015-10-07,2000.412467030299
2015-10-08,66868.29401478199
2015-10-09,-5804.081807655501
2015-10-10,-3259.2467596498027
2015-10-11,-44551.293757451705
2015-10-12,-4980.690587051009
2015-10-13,1635.110137872005
2015-10-14,46915.38751353399
2015-10-15,-5669.817194100804
2015-10-16,-16516.019926139998
2015-10-17,32704.561969499795
2015-10-18,3459.6729780785026
2015-10-19,-44430.500132072295
2015-10-20,-29964.727526790986
2015-10-21,220443.21646526
2015-10-22,18832.154638670996
2015-10-23,136826.89063052498
2015-10-24,674.3511552420023
2015-10-25,-4652.798449597598
2015-10-26,-89685.84077840002
2015-10-27,29018.994368446
2015-10-28,27554.95695929299
2015-10-29,111110.01085151
2015-10-30,324744.193080412
2015-10-31,-17354.579656821996
2015-11-01,-15727.879505761299
2015-11-02,-6458.735025211994
2015-11-03,-35524.81404399898
2015-11-04,-7654.6554273450165
2015-11-05,28390.391739143
2015-11-06,39303.812873918
2015-11-07,57808.8352131234
2015-11-08,41733.886802735506
2015-11-09,256783.99150214097
2015-11-10,15833.9565320685
2015-11-11,-93379.7321422268
2015-11-12,-43886.78889016889
2015-11-13,201.72021972260336
2015-11-14,-56748.26459643341
2015-11-15,-21622.883182318197
2015-11-16,-39097.473160835
2015-11-17,40796.32564861189
2015-11-18,-23737.4500758485
2015-11-19,-1409.146911112599
2015-11-20,-6044.444661899997
2015-11-21,-5683.8334191135
2015-11-22,-22787.3488862604
2015-11-23,299226.195739308
2015-11-24,-7523.2355613248
2015-11-25,-13415.984881253898
2015-11-26,653445.364633878
2015-11-27,-30048.652884902498
2015-11-28,15432.385427142199
2015-11-29,-60373.714073739706
2015-11-30,10970.666065628495
2015-12-01,8530.214401539604
2015-12-02,7430.084875026194
2015-12-03,-53230.93261915511
2015-12-04,-7485.525359357096
2015-12-05,31277.493947152303
2015-12-06,17844.584465840897
2015-12-07,-52081.979321085004
2015-12-08,51057.16907929171
2015-12-09,13291.8121105506
2015-12-10,-101111.6533570117
2015-12-11,-4168.460085117287
2015-12-12,23366.608776373003
2015-12-13,10772.659680469005
2015-12-14,-86927.08843832789
2015-12-15,112636.721244386
2015-12-16,947132.85530458
2015-12-17,80172.40671999399
2015-12-18,68442.2445797502
2015-12-19,743.5746968906969
2015-12-20,-18152.862032580786
2015-12-21,-16664.83801209749
2015-12-22,17962.171222957106
2015-12-23,-17525.577178952502
2015-12-24,-28364.2940689617
2015-12-25,5273.1143647151
2015-12-26,-14556.952645470097
2015-12-27,11631.811161281801
2015-12-28,-27181.465401033907
2015-12-29,-218.2711186255001
